編號,軟體套件名稱,版本,授權證書編號 (證明),來源(如:網址),用途說明,授權書保管者,安裝實體位置
1,Next.js,14.2.28,MIT License,https://nextjs.org,"React全端框架,支援SSR與靜態網站生成",專案管理者,專案依賴套件
2,React,18.2.0,MIT License,https://react.dev,前端UI函式庫,專案管理者,專案依賴套件
3,TypeScript,5.1.6,Apache-2.0,https://www.typescriptlang.org,JavaScript型別系統與編譯器,專案管理者,開發工具
4,Material-UI (MUI),5.17.1,MIT License,https://mui.com,Material Design UI元件庫,專案管理者,專案依賴套件
5,Chart.js,4.4.8,MIT License,https://www.chartjs.org,資料視覺化圖表函式庫,專案管理者,專案依賴套件
6,SASS,1.86.3,MIT License,https://sass-lang.com,CSS預處理器,專案管理者,開發工具
7,Emotion,11.14.0,MIT License,https://emotion.sh,CSS-in-JS樣式函式庫,專案管理者,專案依賴套件
8,React Spring,9.7.5,MIT License,https://www.react-spring.dev,React動畫函式庫,專案管理者,專案依賴套件
9,React Slick,0.29.0,MIT License,https://react-slick.neostack.com,輪播組件函式庫,專案管理者,專案依賴套件
10,Fuse.js,7.1.0,Apache-2.0,https://www.fusejs.io,模糊搜尋功能函式庫,專案管理者,專案依賴套件
11,SweetAlert2,11.17.2,MIT License,https://sweetalert2.github.io,互動式彈窗提示函式庫,專案管理者,專案依賴套件
12,ESLint,8.46.0,MIT License,https://eslint.org,程式碼品質檢查工具,專案管理者,開發工具
